   Medha Speed Time Distance Recording System Type MRT 922
                    Long  Term Digital Report       Recorder Sl.No  2222
___________________________________________________________________________________________________________________________________________________________
Filename           :CMLM438             Locono  : 039027       FileSave Date : 23-05-2023
Userfilename       :                                   FileSave Time : 03:36:10 PM
Start Date , Time  :02/05/23  03:15:12  End Date , Time : 06/05/23   13:22:21
Shedname           :BRCY              Start Dist   : 0  End Dist : 2787.217
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :2165 GGC          Train No: 19020            Locono : 39027  Spd Limit :140 Kmph   Wheel Dia :1037 mm 
02/05/23 | 04:25:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:25:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:26:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:26:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:27:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:27:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:28:03 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | START                     
02/05/23 | 04:28:33 | 009 | 0037 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:29:03 | 017 | 0111 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:29:33 | 024 | 0180 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:30:03 | 025 | 0208 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:30:33 | 028 | 0223 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:31:03 | 048 | 0310 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:31:33 | 067 | 0485 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:32:03 | 079 | 0613 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:32:33 | 080 | 0679 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:33:03 | 079 | 0659 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:33:33 | 078 | 0646 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:34:03 | 079 | 0651 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:34:33 | 079 | 0661 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:35:03 | 079 | 0650 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:35:33 | 089 | 0712 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:36:03 | 092 | 0753 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:36:33 | 099 | 0803 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:37:03 | 102 | 0841 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:37:33 | 102 | 0846 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:38:03 | 105 | 0865 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:38:33 | 081 | 0784 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:39:03 | 069 | 0612 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:39:33 | 055 | 0527 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:40:03 | 034 | 0351 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:40:33 | 027 | 0245 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:41:03 | 029 | 0225 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:41:33 | 029 | 0245 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:42:03 | 027 | 0232 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:42:33 | 021 | 0218 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:43:03 | 009 | 0105 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:43:22 | 000 | 0035 | Off | Off | On  | Off | Off | Off | Off | Off | STOP                      
02/05/23 | 04:43:52 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:44:22 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:44:52 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
02/05/23 | 04:45:01 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | START                     
02/05/23 | 04:45:31 | 010 | 0043 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:46:01 | 018 | 0122 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:46:31 | 026 | 0185 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:47:01 | 027 | 0226 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:47:31 | 043 | 0265 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:48:01 | 066 | 0464 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:48:31 | 079 | 0612 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:49:01 | 088 | 0699 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:49:31 | 095 | 0766 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:50:01 | 101 | 0821 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:50:31 | 106 | 0867 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:51:01 | 109 | 0902 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:51:31 | 104 | 0890 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:52:01 | 096 | 0831 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:52:31 | 075 | 0694 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:53:01 | 051 | 0545 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:53:31 | 019 | 0251 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:54:01 | 024 | 0201 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:54:31 | 026 | 0204 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:55:01 | 026 | 0218 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:55:31 | 023 | 0206 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:56:01 | 014 | 0159 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:56:31 | 003 | 0070 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:56:38 | 000 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off | STOP                      
02/05/23 | 04:57:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:57:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:58:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:58:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:59:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:59:38 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 05:00:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 05:00:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 05:01:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 05:01:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 05:02:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 05:02:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 05:03:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 05:03:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
